,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
0,Precious Achiuwa,achiupr01,PF,14.2,61,12.1,0.0,5.0,2711280.0
1,Steven Adams,adamsst01,C,15.1,58,27.7,0.0,7.6,17073171.0
2,Bam Adebayo,adebaba01,C,22.7,64,33.5,0.25,18.7,28103550.0
3,LaMarcus Aldridge,aldrila01,C,15.7,26,25.9,0.388,13.5,2641691.0
4,Nickeil Alexander-Walker,alexani01,SG,12.5,46,21.9,0.347,11.0,3261480.0
5,Grayson Allen,allengr01,SG,12.8,50,25.2,0.391,10.6,4054695.0
6,Jarrett Allen,allenja01,C,20.1,63,29.6,0.316,12.8,20000000.0
7,Kyle Anderson,anderky01,PF,17.2,69,27.3,0.36,12.4,9937150.0
8,Giannis Antetokounmpo,antetgi01,PF,29.2,61,33.0,0.303,28.1,39344970.0
9,Thanasis Antetokounmpo,antetth01,SF,10.3,57,9.7,0.241,2.9,1729217.0
10,Carmelo Anthony,anthoca01,PF,14.6,69,24.5,0.409,13.4,2641691.0
11,Cole Anthony,anthoco01,PG,12.1,47,27.1,0.337,12.9,3449400.0
12,OG Anunoby,anunoog01,SF,15.4,43,33.3,0.398,15.9,16071429.0
13,Trevor Ariza,arizatr01,SF,11.9,30,28.0,0.35,9.4,2641691.0
14,D.J. Augustin,augusdj01,PG,12.1,57,19.8,0.382,7.7,7000000.0
15,Deni Avdija,avdijde01,SF,7.6,54,23.3,0.315,6.3,4692840.0
16,Deandre Ayton,aytonde01,C,20.3,69,30.7,0.2,14.4,12632950.0
17,Udoka Azubuike,azubuud01,C,10.3,15,3.8,,1.1,2075880.0
18,Marvin Bagley III,baglema01,PF,16.3,43,25.9,0.343,14.1,11312114.0
19,LaMelo Ball,ballla01,PG,17.5,51,28.8,0.352,15.7,8231760.0
20,Lonzo Ball,balllo01,PG,15.2,55,31.8,0.378,14.6,19767442.0
21,Mo Bamba,bambamo01,C,19.3,46,15.8,0.322,8.0,7568742.0
22,Desmond Bane,banede01,SG,12.2,68,22.3,0.432,9.2,2033160.0
23,Harrison Barnes,barneha02,PF,15.4,58,36.2,0.391,16.1,20284091.0
24,RJ Barrett,barrerj01,SG,13.4,72,34.9,0.401,17.6,8623920.0
25,Will Barton,bartowi01,SF,11.8,56,31.0,0.381,12.7,15384615.0
26,Keita Bates-Diop,bateske01,SF,12.0,30,8.2,0.294,2.6,1729217.0
27,Nicolas Batum,batumni01,SF,12.9,67,27.4,0.404,8.1,12213507.0
28,Kent Bazemore,bazemke01,SF,10.6,67,19.9,0.408,7.2,2401537.0
29,Darius Bazley,bazleda01,PF,9.7,55,31.2,0.29,13.7,2513040.0
30,Bradley Beal,bealbr01,SG,22.7,60,35.8,0.349,31.3,34502130.0
31,Malik Beasley,beaslma01,SG,14.6,37,32.8,0.399,19.6,14391964.0
32,DeAndre' Bembry,bembrde01,SF,11.2,51,19.1,0.264,5.7,1939350.0
33,Dāvis Bertāns,bertada01,PF,11.4,57,25.7,0.395,11.5,16000000.0
34,Patrick Beverley,beverpa01,PG,12.0,37,22.5,0.397,7.5,14320988.0
35,Saddiq Bey,beysa01,SF,12.6,70,27.3,0.38,12.2,2824320.0
